Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,33.150002,33.340000,30.190001,30.219999,30.219999,32356700
2022-03-08,30.010000,32.720001,29.580000,31.219999,31.219999,28109600
2022-03-09,32.000000,34.230000,31.780001,33.680000,33.680000,26986400
2022-03-10,32.750000,32.759998,31.059999,31.740000,31.740000,21145700
2022-03-11,32.380001,32.410000,29.745001,30.049999,30.049999,23181900
2022-03-14,29.530001,30.139999,27.670000,28.000000,28.000000,32917800
2022-03-15,28.850000,30.158001,28.576000,29.580000,29.580000,38242700
2022-03-16,30.860001,32.619999,30.230000,32.560001,32.560001,34041900
2022-03-17,31.170000,34.320000,30.920000,33.970001,33.970001,25439800
2022-03-18,33.209999,36.029999,33.020000,36.000000,36.000000,28400200
2022-03-21,35.490002,35.770000,34.200001,35.169998,35.169998,19114700
2022-03-22,35.200001,36.919998,34.970001,36.240002,36.240002,24395100
2022-03-23,35.689999,37.189999,35.119999,35.880001,35.880001,16911400
2022-03-24,36.209999,37.070000,35.180000,37.049999,37.049999,16601200
2022-03-25,37.049999,37.250000,34.750000,35.400002,35.400002,22761600
2022-03-28,35.209999,36.619999,34.860001,36.230000,36.230000,15152400
2022-03-29,36.730000,38.270000,36.330002,37.869999,37.869999,18989200
2022-03-30,37.549999,38.299999,36.500000,36.840000,36.840000,16516200
2022-03-31,36.750000,36.869999,35.764999,35.990002,35.990002,15777700
2022-04-01,36.200001,38.599998,36.200001,37.389999,37.389999,25281500
2022-04-04,38.250000,39.570000,37.369999,39.340000,39.340000,25402800
2022-04-05,39.500000,39.799999,37.820000,38.250000,38.250000,22261200
2022-04-06,37.369999,37.740002,35.639999,36.470001,36.470001,21554000
2022-04-07,36.389999,37.299999,34.580002,36.250000,36.250000,21490400
2022-04-08,35.880001,36.830002,35.410000,35.669998,35.669998,21718400
2022-04-11,34.650002,35.750000,34.053001,34.400002,34.400002,20890400
2022-04-12,34.720001,35.950001,33.189999,33.570000,33.570000,19538500
2022-04-13,33.660000,34.919998,33.340000,34.680000,34.680000,18160800
2022-04-14,35.349998,35.389999,33.169998,33.189999,33.189999,17741900
2022-04-18,33.189999,33.349998,31.600000,32.639999,32.639999,22468100
2022-04-19,32.369999,34.240002,32.320000,33.630001,33.630001,29558200
2022-04-20,32.930000,33.180000,30.700001,30.760000,30.760000,38448300
2022-04-21,31.365000,31.750000,28.754999,29.420000,29.420000,69311500
2022-04-22,28.670000,31.209999,28.559999,29.760000,29.760000,77506100
2022-04-25,29.280001,30.790001,28.910000,29.910000,29.910000,42647800
2022-04-26,29.520000,29.719999,28.150000,28.690001,28.690001,34701800
2022-04-27,27.969999,28.990000,26.559999,27.090000,27.090000,40794900
2022-04-28,27.910000,28.959999,26.440001,28.809999,28.809999,44665200
2022-04-29,29.070000,30.370001,28.400000,28.459999,28.459999,39033200
2022-05-02,28.260000,29.540001,28.059999,29.520000,29.520000,23474700
2022-05-03,29.410000,29.730000,28.475000,28.930000,28.930000,24795100
